English	German	Spanish	French	Esperanto	Portuguese	Polish	Russian	Dutch	Italien
The lion let out a loud roar as the ringmaster cracked his whip.	Der Löwe ließ ein lautes Gebrüll wie der Zirkusdirektor seine Peitsche knallte.	El león dejó escapar un rugido como el maestro de ceremonias agrietado su látigo.	Le lion poussa un hurlement fort que le dompteur fit claquer son fouet.	La leono luigos laŭta muĝo kiel la Ringmaster svingis la vipon.	O leão soltou um rugido alto como o ringmaster estalou o chicote.	Lew niech się głośny ryk jako konferansjer pęknięty batem.	Лев издал громкий рев, как манеж взмахнул кнут.	De leeuw liet een luid gebulder als spreekstalmeester zijn zweep gekraakt.	Il leone emise un ruggito forte come il direttore del circo incrinato la frusta.
The steaks sizzled on the barbeque.	Die Steaks brutzelten auf dem Grill.	Los filetes crepitaban en la barbacoa.	Les steaks grésillaient sur le barbecue.	La bifstekoj sizzled en barbeque.	Os bifes chiaram no churrasco.	Steki sizzled na grilla.	Стейки шипела на барбекью.	De steaks sizzled op de barbecue.	Le bistecche sfrigolavano sul barbecue.
We clapped our hands it time with the music.	Wir klatschten unsere Hände, um es mit der Musik.	Aplaudimos nuestro tiempo lo pasa con la música.	Nous applaudissions nos mains ce temps avec la musique.	Ni aplaŭdis niaj manoj gxin tempon kun la muziko.	Nós bateu nossas mãos que tempo com a música.	Mamy klasnął w ręce nasz czas go z muzyką.	Мы хлопали наше время руки его с музыкой.	We klapten onze handen het tijd met de muziek.	Abbiamo applaudito il nostro tempo le mani con la musica.
The dog barked as the postman approached the gate.	Der Hund bellte wie der Postbote das Tor näherte.	El perro ladró como el cartero se acercó a la puerta.	Le chien a aboyé comme le facteur approché de la porte.	La hundo bojis al la leterportisto alproksimiĝis al la pordego.	O cachorro latiu como o carteiro se aproximou do portão.	Pies szczekał jak listonosz zbliżył się do bramy.	Залаяла собака, как почтальон подошел к воротам.	De hond blafte als de postbode naderde de poort.	Il cane abbaiava come il postino si avvicinava al cancello.
The mud bubbled on the surface of the bog.	Der Schlamm sprudelte auf der Oberfläche des Moores.	El lodo burbujea en la superficie de la ciénaga.	La boue barboter sur la surface de la tourbière.	La koto bobelis sur la surfaco de la marĉo.	A lama borbulhava na superfície do pântano.	Błoto pęcherzykami na powierzchni torfowiska.	Грязь барботирует на поверхности болота.	De modder borrelde op het oppervlak van het moeras.	Il fango gorgogliare sulla superficie della palude.
The girl screamed: “Eek!” as the mouse ran from under her bed.	Das Mädchen schrie: „Eek!“, Wie die Maus unter ihrem Bett lief.	La chica gritó: “Eek!”, Como el ratón corrió por debajo de su cama.	La jeune fille a crié: « Eek! » Que la souris a couru sous son lit.	La knabino kriis: "Eek!" Kiel la muso kuris el sub ŝia lito.	A menina gritou: “Eek!”, Como o rato correu debaixo de sua cama.	Dziewczyna krzyknęła: „Eek” jak mysz uciekła spod łóżka.	Девушка закричала: «Ик!», Как мышь побежала из-под кровати.	Het meisje schreeuwde: “Eek!” Als de muis liep van onder haar bed.	La ragazza gridò: “Eek!”, Come il topo correva da sotto il letto.
The bells of the church clanged to announce the start of the service.	Die Glocken der Kirche läuteten den Beginn des Dienstes bekannt zu geben.	Las campanas de la iglesia sonaron para anunciar el comienzo del servicio.	Les cloches de l'église résonnaient d'annoncer le début du service.	La sonoriloj de la preĝejo batfermiĝis anonci la komencon de la servo.	Os sinos da igreja soou para anunciar o início do serviço.	Dzwony kościoła szczękiem ogłosić rozpoczęcie usługi.	Колокола церкви лязг, чтобы объявить о начале службы.	De klokken van de kerk kletterde naar het begin van de dienst aan te kondigen.	Le campane della chiesa risuonavano per annunciare l'inizio del servizio.
He fell off the slide and landed on the floor with a thump.	Er fiel den Schieber und landete auf dem Boden mit einem dumpfen Schlag aus.	Se cayó de la corredera y aterrizó en el suelo con un ruido sordo.	Il est tombé de la lame et a atterri sur le sol avec un bruit sourd.	Li falis de la slide kaj alteriĝis sur la plankon kun frapo.	Ele caiu fora do slide e caiu no chão com um baque.	Spadł poślizg i wylądował na podłodze z hukiem.	Он упал слайд и приземлился на пол с глухим стуком.	Hij viel van de glijbaan en landde op de vloer met een dreun.	È caduto dal vetrino ed è atterrato sul pavimento con un tonfo.
The ball whizzed past my ear and into the catcher’s mitt.	Der Ball sauste an meinem Ohr vorbei und in den Fanghandschuh.	La pelota pasó rozando mi oreja y en el guante del receptor.	La balle siffla mon oreille et dans la mitaine du receveur.	La pilko whizzed pasinteco mian orelon kaj en la ricevilo la mitt.	A bola passou zunindo por minha orelha e na luva do apanhador.	Piłka śmignęła obok mojego ucha i do rękawicy łapacza.	Мяч просвистел мимо моего уха и в рукавицу ловителя.	De bal zoefde langs mijn oor en in mitt van de vanger.	La palla sfrecciò oltre il mio orecchio e nel guanto del ricevitore.
Shh! No talking in the library please.	Shh! Kein Gespräch in der Bibliothek bitte.	Shh! No se permite hablar en la biblioteca por favor.	Chut! On ne parle pas dans la bibliothèque s'il vous plaît.	Shh! Neniu parolis en la biblioteko bonvolu.	Shh! Sem falar na biblioteca por favor.	Ciii! Nie mówi w bibliotece proszę.	Тсс! Нет, говорят в библиотеке, пожалуйста.	Shh! Niet praten in de bibliotheek kunt u.	Shh! Non si parla nella libreria per favore.
The train made a choo-choo sound and smoke billowed from its chimney.	Der Zug machte einen Tschu-Tschu-Sound und Rauch wogte aus seinem Schornstein.	El tren hizo un sonido chu-chu y el humo se elevaba desde su chimenea.	Le train a fait un bruit choo-choo et la fumée faisait rage dans sa cheminée.	La trajno faris choo-choo sono kaj fumi ondiĝu de ĝia kamentubo.	O trem fez um som Choo-Choo e fumaça subia de sua chaminé.	Pociąg wydał dźwięk ciuchcia i dymu z komina kłęby.	Поезд сделал чу-чу звук и дым валил из его трубы.	De trein maakte een treintje geluid en rook kolkte uit de schoorsteen.	Il treno fece un suono choo-choo e fumo gonfiava dal suo camino.
I heard a knock at the door.	Ich hörte ein Klopfen an der Tür.	Oí un golpe en la puerta.	J'ai entendu frapper à la porte.	Mi aŭdis frapon sur la pordon.	Eu ouvi uma batida na porta.	Usłyszałem pukanie do drzwi.	Я услышал стук в дверь.	Ik hoorde een klop op de deur.	Ho sentito bussare alla porta.
He murmured the words, “I’m sorry,” but I didn’t believe he really was.	Er murmelte die Worte: „Es tut mir leid,“ aber ich habe nicht glauben, dass er wirklich war.	Murmuró las palabras, “Lo siento,” pero yo no creía que era en realidad.	Il murmura les mots: « Je suis désolé », mais je ne croyais pas qu'il était vraiment.	Li murmuris la vortojn: "Mi bedaŭras," sed mi ne kredas, ke li vere estis.	Ele murmurou as palavras, “eu sinto muito”, mas eu não acredito que ele realmente era.	Wymamrotał słowa „przepraszam”, ale nie wierzę, że naprawdę było.	Он пробормотал слова, «Я извиняюсь», но я не верю, что он на самом деле.	Hij mompelde de woorden: “Het spijt me,” maar ik geloofde niet dat hij echt was.	Mormorò le parole, “Mi dispiace”, ma non credevo fosse veramente.
The machine whirred to a standstill.	Die Maschine surrte zum Stillstand.	La máquina zumbó a un punto muerto.	La machine ronronnait à l'arrêt.	La maŝino whirred al senmova.	A máquina zumbiu a uma paralisação.	Maszyna whirred w martwym punkcie.	Машина жужжали в тупик.	De machine snorde tot stilstand.	La macchina ronzava a un punto morto.
He slashed his ex-girlfriend’s tires and felt a strong surge of guilt.	Er senkte seine Ex-Freundin Reifen und spürte einen starken Anstieg der Schuld.	Recortó los neumáticos de su ex novia y sintió una fuerte oleada de culpabilidad.	Il tailladé les pneus de son ex-petite amie et a senti une forte poussée de culpabilité.	Li tranĉis lia eks fianĉino de pneŭoj kaj sentis fortan ondadon de kulpo.	Ele cortou os pneus de sua ex-namorada e sentiu uma forte onda de culpa.	Ciął opony jego byłą dziewczyną i poczuł silny przypływ winy.	Он полоснул шины своей бывшей подруги и почувствовал сильный прилив вины.	Hij sneed de banden van zijn ex-vriendin en voelde een sterke stijging van de schuld.	Ha tagliato le gomme della sua ex-fidanzata e sentì una forte ondata di colpa.
Tsk,tsk,tsk, you really shouldn’t be eating in class.	Tsk, tsk, tsk, sollten Sie wirklich nicht in der Klasse zu essen sein.	Tsk, tsk, tsk, que realmente no debería ser comer en clase.	Tss, tss, tss, vous devriez vraiment pas manger en classe.	Tsk, tsk, tsk, vi vere ne devus esti manĝante en klaso.	Tsk, tsk, tsk, você realmente não deveria estar comendo na sala de aula.	Tsk, tsk, tsk, naprawdę nie powinno być jedzenie w klasie.	Ай, яй, яй, вы действительно не должны быть есть в классе.	Tsk, tsk, tsk, je moet echt niet te eten in de klas.	Tsk, tsk, tsk, davvero non dovrebbe essere mangiare in classe.
I trembled as the door slowly creaked open.	Ich zitterte, als sich die Tür langsam geöffnet knarrte.	Temblé cuando la puerta se abrió lentamente.	Je tremblais comme la porte grinça lentement ouverte.	Mi tremis kiel la pordo malrapide knaris malfermita.	Eu tremi quando a porta se abriu lentamente.	Drżałem jak powoli drzwi zaskrzypiały otwarte.	Я дрожал, как дверь медленно скрипнула.	Ik beefde toen de deur voorzichtig open kraakte.	Tremavo come la porta si apre lentamente.
The owl hooted.	Die Eule heulte.	La lechuza ululó.	Le hibou hua.	La strigo hooted.	A coruja piou.	Sowa gwizdali.	Сова гудели.	De uil kraste.	Il gufo stridette.
Is there a possibility that this year we will hear the pitter-patter of tiny feet?	Gibt es eine Möglichkeit, dass wir in diesem Jahr das Trippeln winziger Füße hören?	¿Existe la posibilidad de que este año vamos a oír el repiqueteo de pies pequeños?	Est-il possible que cette année, nous allons entendre le crépitement des petits pieds?	Ĉu ekzistas ebleco ke ĉi tiu jaro ni auxskultos la Pitter-frapetado de piedetoj?	Existe uma possibilidade de que este ano vamos ouvir o tamborilar de pés minúsculos?	Czy istnieje możliwość, że w tym roku będziemy słyszeć bębnienia maleńkich stóp?	Есть ли вероятность того, что в этом году мы услышим барабанить крошечных ног?	Is er een mogelijkheid dat dit jaar zullen we het gespetter van kleine voetjes horen?	C'è una possibilità che quest'anno sentiremo il Pitter-scalpiccio di piccoli piedi?
The dog splashed around in the water, he was clearly having a lot of fun.	Der Hund spritzte im Wasser herum, er war eindeutig eine Menge Spaß zu haben.	El perro salpicó en el agua, que estaba teniendo claramente un montón de diversión.	Le chien éclaboussé autour de l'eau, qu'il avait clairement beaucoup de plaisir.	La hundo plaŭdis ĉirkaŭ en la akvo, li estis klare havi multe da amuzo.	O cão espirrou em torno da água, ele foi claramente ter um monte de diversão.	Pies dostanie się w wodzie, został on wyraźnie o wiele zabawy.	Собака плескалась в воде, он явно имея массу удовольствия.	De hond spatte rond in het water, hij was duidelijk met veel plezier.	Il cane schizzato giro per l'acqua, era chiaramente avendo un sacco di divertimento.
I listened to the rustle of the leaves in the trees and I knew autumn had arrived.	Ich hörte das Rascheln der Blätter in den Bäumen, und ich wusste Herbst angekommen war.	Escuché el susurro de las hojas en los árboles y sabía que había llegado el otoño.	J'ai écouté le bruissement des feuilles dans les arbres et je savais que l'automne était arrivé.	Mi aŭskultis la susuro de la folioj en la arboj kaj mi sciis aŭtuno alvenis.	Eu escutei o farfalhar das folhas nas árvores e eu sabia outono tinha chegado.	Słuchałam szelestu liści na drzewach i wiedziałem jesień przybył.	Я слушал шелест листьев на деревьях, и я знал, что осень пришла.	Ik luisterde naar het ruisen van de bladeren in de bomen en ik wist dat de herfst was aangekomen.	Ho ascoltato il fruscio delle foglie sugli alberi e sapevo autunno era arrivato.
The old man hummed his favorite tune and the passers-by smiled.	Der alte Mann summte seine Lieblingsmelodie und die Passanten lächelten.	El anciano tarareaba su canción favorita y los transeúntes se sonrió.	Le vieil homme fredonnait sa chanson préférée et les passants sourit.	La maljunulo zumis liaj preferataj melodio kaj la preterpasantoj ridetis.	O velho cantarolou sua música favorita e os transeuntes sorriu.	Starzec nucił swoją ulubioną melodię i przechodniów uśmiechnął.	Старик напевал свою любимую мелодию и прохожие улыбались.	De oude man neuriede zijn favoriete nummer en de voorbijgangers glimlachte.	Il vecchio canticchiava la sua canzone preferita e il passanti sorrise.
Swoosh, the basketball flew smoothly through the net and the game was won.	Swoosh, flog der Basketball glatt durch das Netz und das Spiel gewonnen wurde.	Swoosh, el baloncesto voló suavemente a través de la red y el juego fue ganado.	Bruissement, le basket-ball a volé en douceur à travers le filet et le jeu a été gagné.	Swoosh, la basketbalo flugis glate tra la reto kaj la ludo estis gajnis.	Swoosh, o basquete voou sem problemas através da rede e o jogo foi ganho.	Szum, koszykówka leciał gładko przez net i gra została wygrana.	Swoosh, баскетбол летел ровно через сетку, и игра была выиграна.	Swoosh, het basketbal vloog soepel door het net en het spel werd gewonnen.	Swoosh, il basket ha volato senza problemi attraverso la rete e la partita è stata vinta.
Clang, clang went the bell, reminding us all that it was time for school.	Clang, ging Klappern der Glocke, uns alle daran erinnern, dass es Zeit für die Schule war.	Clang, clang fue la campana, recordándonos a todos que era el momento para la escuela.	Clang, clang a la cloche, nous rappelant tout ce qu'il était temps pour l'école.	Clang, tin iris la sonorilon, memorigis nin ĉiujn ke estis tempo por lernejo.	Clang, clang foi o sino, lembrando-nos tudo o que estava na hora de escola.	Dzyń, dzyń poszedł dzwonek, przypominając nam wszystkim, że nadszedł czas do szkoły.	Clang, лязг пошел колокол, напоминая всем нам, что пришло время для школы.	Clang, Clang ging de bel, herinneren ons allemaal dat het tijd voor school was.	Clang, clang è andato il campanello, ricordandoci tutti che era il momento per la scuola.
Ding, dong, there was someone at the door.	Ding, dong, war es jemand an der Tür.	Ding, dong, había alguien en la puerta.	Ding, dong, il y avait quelqu'un à la porte.	Ding, dong, ekzistis iu ĉe la pordo.	Ding, dong, havia alguém na porta.	Ding, dong, był ktoś w drzwi.	Дин, дон, там был кто-то в дверь.	Ding, dong, was er iemand aan de deur.	Ding, dong, c'era qualcuno alla porta.
Don’t forget to flush the toilet before leaving the bathroom.	Vergessen Sie nicht, auf die Toilette zu spülen, bevor das Bad zu verlassen.	No se olvide de tirar de la cadena antes de salir del cuarto de baño.	Ne pas oublier de rincer les toilettes avant de quitter la salle de bain.	Ne forgesu kaŝus la necesejo antaŭ forlasi la banĉambro.	Não se esqueça de lavar o banheiro antes de sair da casa de banho.	Nie zapomnij do spłukiwania toalety przed wyjściem z łazienki.	Не забудьте спустить воду в туалете, прежде чем покинуть комнату.	Vergeet niet om het toilet door te spoelen voor het verlaten van de badkamer.	Non dimenticare di tirare l'acqua prima di lasciare la stanza da bagno.
Whoop, whoop! The gorgeous girl at the cinema gave me her phone number.	Whoop, Whoop! Das wunderschöne Mädchen im Kino gab mir ihre Telefonnummer.	Chillido, chillido! La chica hermosa en el cine me dio su número de teléfono.	Whoop Whoop! La jeune fille magnifique au cinéma m'a donné son numéro de téléphone.	Whoop, Whoop! La belegan knabinon ĉe la kinejo donis al mi sian telefonnumeron.	Whoop, whoop! A menina lindo no cinema me deu seu número de telefone.	Whoop whoop! Wspaniała dziewczyna w kinie dał mi swój numer telefonu.	Whoop, буянить! Великолепная девушка в кино дала мне свой номер телефона.	Whoop Whoop! De prachtige meisje in de bioscoop gaf me haar telefoonnummer.	Whoop, whoop! La splendida ragazza al cinema mi ha dato il suo numero di telefono.
Ugh, that cough syrup tastes disgusting.	Ugh, dass Hustensaft schmeckt ekelhaft.	Uf, jarabe para la tos que tiene un sabor desagradable.	Ugh, ce sirop contre la toux goût écoeurant.	Hu, ke tuso siropo gustas naŭza.	Ugh, que xarope para a tosse tem um gosto nojento.	Fuj, że kaszel syrop smakuje obrzydliwe.	Тьфу, что сироп от кашля на вкус отвратительный.	Ugh, dat hoestsiroop smaakt walgelijk.	Ugh, che sciroppo per la tosse ha un sapore disgustoso.
Phew! I only just made it on time.	Puh! Ich habe nur gerade auf Zeit gemacht.	¡Uf! Yo sólo acaba de hacer a tiempo.	Phew! Je ne l'ai fait juste à temps.	Phew! Mi nur ĵus faris ĝin ĝustatempe.	Ufa! I apenas fez no tempo.	Uff! I tylko po prostu się go na czas.	Уф! Я только сделал это вовремя.	Phew! Ik heb alleen maar maakte het op tijd.	Accidenti! Ho appena fatto in tempo.
I know when the teacher is approaching because I can hear the jangle of her bracelets.	Ich weiß, wenn der Lehrer nähert, weil ich das Klirren ihrer Armbänder hören kann.	Sé que cuando el maestro se acerca porque puedo oír el tintineo de sus pulseras.	Je sais que lorsque l'enseignant approche parce que je peux entendre le tintement de ses bracelets.	Mi scias, kiam la instruisto alproksimiĝas ĉar mi povas aŭdi la jangle ŝia braceletoj.	Eu sei que quando o professor está se aproximando porque eu posso ouvir o tilintar de suas pulseiras.	Wiem, kiedy zbliża się nauczyciel, bo słyszę brzęk jej bransoletki.	Я знаю, что, когда учитель приближается, потому что я могу услышать звон браслетов.	Ik weet wanneer de leraar nadert, omdat ik het gerinkel van haar armbanden kan horen.	So che quando l'insegnante si avvicina perché posso sentire il tintinnio dei suoi braccialetti.
Huh? Could you speak up please?	Huh? Könnten Sie sprechen bitte?	Eh? ¿Podrías hablar más alto por favor?	Huh? Pourriez-vous parler s'il vous plaît?	Huh? Ĉu vi povus paroli supren bonvolu?	Hã? Você poderia falar mais alto, por favor?	Huh? Mógłbyś mówić proszę?	А? Не могли бы вы говорить пожалуйста?	Huh? Kun je spreken up please?	Eh? Potrebbe parlare per favore?
If we all help, the house will be clean faster than you can click your fingers.	Wenn wir alle helfen, wird das Haus sauber schneller sein, als Sie Ihre Finger klicken.	Si todos ayudamos, la casa estará limpia más rápido que puede hacer clic en los dedos.	Si nous aidons, la maison sera propre plus vite que vous pouvez cliquer sur vos doigts.	Se ni ĉiuj helpas, la domo estos pura rapide ol vi povas klaki vian fingroj.	Se todos nós ajudarmos, a casa será limpa mais rápido do que você pode clicar em seus dedos.	Jeśli wszyscy pomóc, dom będzie czysty szybciej niż można kliknąć palcami.	Если мы все помочь, дом будет чистым быстрее, чем вы можете щелкнуть пальцами.	Als we allemaal helpen, zal het huis schoon zijn sneller dan je je vingers kunt klikken.	Se tutti noi aiutiamo, la casa sarà pulita più velocemente di quanto è possibile fare clic le dita.
Scrooge is famous for saying: “Bah, hum bug.”	Scrooge ist berühmt für die Worte: „Bah, hum bug“	Scrooge es famoso por decir: “Bah, insecto del ronquido.”	Scrooge est célèbre pour avoir dit: « Bah, bug hum. »	Scrooge estas fama por diri: "Ba, zumado cimon."	Scrooge é famoso por dizer: “Bah, erro hum”	Scrooge jest znane powiedzenie: „Ba, hum błąd”	Скрудж известен высказывание: «Ба, гул ошибки.»	Scrooge is beroemd om te zeggen: “Bah, hum bug”	Scrooge è famosa per aver detto: “Bah, bug hum”
I dropped the medicine into the glass and it fizzled until it dissolved.	Ich ließ das Medikament in das Glas und es im Sande verlaufen, bis es gelöst ist.	Se me cayó el medicamento en el vaso y se desinfló hasta que se disolvió.	Je laissai tomber le médicament dans le verre et il fait long feu jusqu'à dissolution.	Mi faligis la medicinon en la glason kaj fizzled ĝis ĝi solvis.	Larguei o medicamento no copo e ele fracassou até que dissolvido.	Rzuciłem leku do szkła i fizzled aż się rozpuści.	Я бросил медицину в стакан и он сошел с дистанции, пока он не растворится.	Ik liet het medicijn in het glas en het nachtkaars totdat het opgelost.	Ho lasciato cadere la medicina nel bicchiere e fizzled fino a quando non sciolto.
Ouch! You just stepped on my toe.	Autsch! Sie trat gerade auf dem Fuß.	¡Ay! Usted acaba de caminar en el dedo del pie.	Aie! Vous venez sur mon orteil fait un pas.	Aj! Vi nur elpaŝis sur mia piedfingro.	Ouch! Você apenas pisou no meu pé.	Ała! Po prostu wszedł na moim palcu.	Ой! Вы только что наступил мне на ноги.	Ouch! Je hoeft alleen stapte op mijn teen.	Ahia! È appena messo piede sul mio dito del piede.
I had second thoughts about visiting Joe when his dog started to growl at me.	Ich hatte zweite Gedanken über Joe besuchen, wenn sein Hund auf mich knurren begann.	Tenía dudas sobre visitar Joe cuando su perro empezó a gruñir a mí.	J'ai eu des doutes au sujet de visiter Joe quand son chien a commencé à gronder à moi.	Mi havis duan pensoj pri vizitante Joe kiam lia hundo komencis grumbli kontraux mi.	Eu tinha dúvidas sobre visitar Joe quando seu cão começou a rosnar para mim.	Miałem wątpliwości co odwiedzenie Joe, kiedy jego pies zaczął warczeć na mnie.	Я имел вторую мысль о посещении Джо, когда его собака начала рычать на меня.	Ik had tweede gedachten over het bezoeken van Joe toen zijn hond begon te grommen naar me.	Ho avuto ripensamenti sulla visita Joe quando il suo cane cominciò a ringhiare contro di me.
The twang of the banjo string hurt my ears.	Das Schwirren des Banjo String meiner Ohren weh tun.	El acento de la cadena banjo daño a mis oídos.	Le twang de la chaîne de banjo mal mes oreilles.	La Twang de la banĝo kordo doloris miaj oreloj.	O sotaque da string banjo ferir os meus ouvidos.	Brzdęk struny banjo rani moje uszy.	Бренчать струны банджо больно мои уши.	De twang van de banjo snaar pijn aan mijn oren.	Il suono metallico della stringa banjo male le mie orecchie.
Ahem! I can hear everything you are saying about me.	Hm! Ich kann alles, was Sie sagen, über mich hören.	¡Ejem! Puedo escuchar todo lo que está diciendo acerca de mí.	Ahem! Je peux entendre tout ce que vous dites sur moi.	Hm Mi povas aŭdi ĉion kion vi diras pri mi.	Ahem! Eu posso ouvir tudo o que estão dizendo sobre mim.	Hm! Słyszę wszystko, co mówią o mnie.	Гм! Я могу слышать все, что вы говорите обо мне.	Ahum! Ik kan alles wat je zegt over mij te horen.	Ahem! Posso sentire tutto quello che hanno da dire su di me.
Please whisper while you are in the library.	Bitte flüstern, während Sie in der Bibliothek sind.	Por favor susurro mientras está en la biblioteca.	S'il vous plaît chuchoter pendant que vous êtes dans la bibliothèque.	Bonvolu flustri dum vi estas en la biblioteko.	Por favor, sussurrar, enquanto você está na biblioteca.	Proszę szeptem, gdy jesteś w bibliotece.	Пожалуйста, шептать, пока вы находитесь в библиотеке.	Gelieve te fluisteren terwijl u in de bibliotheek.	Si prega di sussurrare mentre si è nella biblioteca.
I gurgled the mouthwash as the dentist had instructed.	Ich gurgelte das Mundwasser als der Zahnarzt angewiesen hatte.	Me gorgoteó el enjuague bucal como el dentista había indicado.	Je gargouillait le rince-bouche que le dentiste avait demandé.	Mi guglis la enjuague buŝa kiel la dentisto estis instruita.	I borbulhava o enxaguatório como o dentista havia instruído.	I bulgotała do płukania jamy ustnej jako lekarz polecił.	Я клокотал в жидкость для полоскания рта, как стоматолог проинструктировал.	Ik klokte de mondwater als de tandarts had opgedragen.	Ho gorgogliava il colluttorio come il dentista aveva ordinato.
I could hear the dog whine as I closed the door and I felt terribly guilty about leaving him on his own.	Ich konnte den Hund jammern hören, als ich die Tür geschlossen und ich fühlte mich schrecklich schuldig, ihn auf seinem eigenen zu verlassen.	Podía oír el zumbido perro mientras cerraba la puerta y me sentí terriblemente culpable por dejarlo por su cuenta.	Je pouvais entendre le sifflement de chien que je fermais la porte et je me sentais terriblement coupable de le laisser seul.	Mi povis aŭdi la hundo chillido kiel mi fermis la pordon kaj mi sentis terure kulpa lasante lin sur lia propra.	Eu podia ouvir a lamentação cão como eu fechei a porta e me senti terrivelmente culpada por deixá-lo sozinho.	Słyszałem wycie psa jako Zamknąłem drzwi i czułem się strasznie winny pozostawiając go na własną rękę.	Я мог слышать собачий визг, как я закрыл дверь, и я чувствовал себя ужасно виноватой, оставив его самостоятельно.	Ik kon de hond janken hoor ik de deur dicht en ik voelde me vreselijk schuldig over het verlaten van hem op zijn eigen.	Potevo sentire il lamento cane come ho chiuso la porta e mi sono sentito terribilmente in colpa per averlo lasciato da solo.
You scared me when you shouted, “boo.”	Du hast mich erschreckt, wenn Sie rief: „Boo“.	Me asustaste cuando gritó, “Boo”.	Tu me fait peur quand tu as crié, « boo. »	Vi timigis min kiam vi kriis: "boo".	Você me assustou quando você gritou: “boo”.	Boisz się mnie, gdy krzyknął: „boo”.	Ты напугал меня, когда ты кричал, «бух.»	Je liet me schrikken als je schreeuwde, “boo.”	Mi hai spaventato quando hai gridato, “boo”.
He whipped out his magic wand and cast an amazing spell.	Er peitschte seinen Zauberstab heraus und warf einen erstaunlichen Zauber.	Él sacó su varita mágica y un hechizo increíble.	Il sortit sa baguette magique et jeta un sort incroyable.	Li vipis sian magian bastonon kaj ĵetis mirinda sorĉo.	Ele sacou sua varinha mágica e jogar uma mágica incrível.	On wyciągnął swoją magiczną różdżkę i rzucił niesamowity czar.	Он выхватил волшебную палочку и бросил удивительное заклинание.	Hij haalde zijn toverstaf en wierp een geweldige spellen.	Lui tirò fuori la sua bacchetta magica e lanci una magia straordinaria.
